a,art. def.,singular,f.
e,art. def.,singular,
i,art. def.,singular,
o,art. def.,singular,m.
u,art. def.,singular,
os,art. def.,plural,m.
as,art. def.,plural,f.
um,art. indef.,singular,m.
uma,art. indef.,singular,f.
uns,art. indef.,plural,m.
umas,art. indef.,plural,f.
algum,art. indef.,singular,m.
alguma,art. indef.,singular,f.
alguns,art. indef.,plural,m.
algumas,art. indef.,plural,f.
