bom,adj.,singular,m
bons,adj.,plural,m
ruim,adj.,singular,
ruins,adj.,plural,
divertido,adj.,singular,m
divertidos,adj.,plural,m
divertida,adj.,singular,f
divertidas,adj.,plural,f
cansado,adj.,singular,m
cansados,adj.,plural,m
cansada,adj.,singular,m
cansadas,adj.,plural,m
